# HX Stomp Model Aliases Reference
# -----------------------------------------------------------------------
# MAINTENANCE NOTE: Keep this file in sync with hx_models.py whenever
# aliases are added, removed, or corrected. The source of truth is the
# aliases list on each HXModel entry. This CSV is for human review only
# and is NOT read by the application.
# -----------------------------------------------------------------------
# Columns:
#   model_id        — firmware ID used in .hlx files
#   name            — Line 6 display name
#   category        — Amp | Distortion | Delay | Reverb | Modulation | Compressor | Gate | EQ
#   gear_aliases    — real-world hardware names (used for LLM hint matching)
#   artist_aliases  — artists / bands / songs / styles (used for LLM hint matching)
# -----------------------------------------------------------------------

model_id,name,category,gear_aliases,artist_aliases

# --- AMPS ---
HD2_AmpUSDoubleNrm,US Double Nrm,Amp,"Fender Twin, Twin Reverb, blackface twin",
HD2_AmpUSSmallTweed,US Small Tweed,Amp,"Fender Deluxe, Deluxe Reverb, 5E3",
HD2_AmpUSSuperNorm,US Super Nrm,Amp,"Fender Super Reverb, Super Reverb, Super 6G4",
HD2_AmpUSSuperVib,US Super Vib,Amp,"Super Reverb Vibrato, Super Reverb vib, Fender vibrato channel",
HD2_AmpTweedBluesBrt,Tweed Blues Brt,Amp,"Fender Bassman, Bassman, 5F6","SRV, Stevie Ray Vaughan, Texas blues"
HD2_AmpMatchstickCh1,Matchstick Ch1,Amp,"Matchless DC30, DC-30, Matchless","Tom Petty, Radiohead, REM"
HD2_AmpMandarin80,Mandarin 80,Amp,"Orange, Orange AD30, Orange OR15",
HD2_AmpMandarinRocker,Mandarin Rocker,Amp,"Orange Rockerverb, Rockerverb, Orange RV50",
HD2_AmpA30FawnNrm,A30 Fawn Nrm,Amp,"Vox AC30, AC30, AC-30",
HD2_AmpEssexA15,Essex A15,Amp,"Vox AC15, AC15, AC-15",
HD2_AmpBritPlexiNrm,Brit Plexi Nrm,Amp,"Marshall Plexi, Super Lead, 1959SLP","Hendrix, Jimi Hendrix, Led Zeppelin, Jimmy Page, Cream"
HD2_AmpBritPlexiBrt,Brit Plexi Brt,Amp,"Marshall Plexi Bright, Plexi Bright","Slash, GNR, Guns N Roses, Appetite for Destruction, AFD, AC/DC, Angus Young, Malcolm Young, Back in Black"
HD2_AmpBritJ45Nrm,Brit J45 Nrm,Amp,"Marshall JCM800, JCM 800, JMP, 2203, 2204","Zakk Wylde, Ozzy, classic metal, NWOBHM"
HD2_AmpBritJ45Brt,Brit J45 Brt,Amp,"Marshall Bright, JMP Bright, Superlead Bright",
HD2_AmpPlacaterDirty,Placater Dirty,Amp,"Friedman BE-100, BE100, Friedman",
HD2_AmpPlacaterClean,Placater Clean,Amp,"Friedman clean, BE-100 clean, Friedman BE clean",
HD2_AmpCaliRectifire,Cali Rectifire,Amp,"Mesa Boogie, Dual Rectifier, Mesa Recto, Rectifier","Metallica, James Hetfield, Tool, Deftones, thrash metal"
HD2_AmpCaliIVLead,Cali IV Lead,Amp,"Mesa Mark IV, Mark IV, Mark 4, Mesa Mark 4","Santana, Carlos Santana, prog metal, Mark series"
HD2_AmpPVPanama,PV Panama,Amp,"Peavey 5150, EVH 5150, 5150, 6505","Van Halen, EVH, Eddie Van Halen, brown sound"
HD2_AmpLine6Litigator,Line 6 Litigator,Amp,"Two-Rock, Two Rock",
HD2_AmpRevvGenRed,Revv Gen Red,Amp,"Revv Generator, Revv Gen, Revv 120","Periphery, Animals as Leaders, modern djent, prog metal"
HD2_AmpRevvGenPurple,Revv Gen Purple,Amp,"Revv Purple, Revv Gen 120 Purple, Revv high gain",
HD2_AmpLine6Badonk,Line 6 Badonk,Amp,Badonk,
HD2_AmpDasBenzinLead,Das Benzin Lead,Amp,"Diezel Herbert, Diezel VH4, Diezel",
HD2_AmpDasBenzinMega,Das Benzin Mega,Amp,"Diezel Mega, Diezel Herbert Mega, Diezel Ch3",
HD2_AmpGermanXtraBlue,German Xtra Blue,Amp,"Bogner Ecstasy Blue, Ecstasy Blue, Bogner clean, Bogner Blue",
HD2_AmpGermanXtraRed,German Xtra Red,Amp,"Bogner Ecstasy Red, Ecstasy Red, Bogner, Bogner Ecstasy",
HD2_AmpVoltageQueen,Voltage Queen,Amp,"Victoria 35115, Victoria",
HD2_AmpFullertonNrm,Fullerton Nrm,Amp,"Fender Princeton, Princeton Reverb, Princeton",
HD2_AmpGrammaticoNrm,Grammatico Nrm,Amp,"Grammatico, LaGrange",
HD2_AmpGrammaticoBrt,Grammatico Brt,Amp,"Grammatico Bright, LaGrange Bright",
HD2_AmpGSG100,GSG-100,Amp,"Grammatico GSG, GSG 100, GSG100",
